id,artiste,organisme,adresse,annee,arrondissement,programme_entente,latitude,longitude,image
87,"A'Shop (Zek One et Dodo Ose)","Prévention du crime Ahuntsic-Cartierville","1014, rue Fleury Est","2015","Ahuntsic-Cartierville","Programme graffitis et murales",45.558021,-73.659044,"https://depot.ville.montreal.qc.ca/murales/_0144731p.jpg"
88,"Artducommun","Maison des Jeunes l'Escalier de Lachine","735, rue Notre-Dame","2015","Lachine","Programme graffitis et murales",45.434765,-73.670308,"https://depot.ville.montreal.qc.ca/murales/_0144707p.jpg"
89,"Artducommun","Maison des Jeunes l'Escalier de Lachine","1005, rue Notre-Dame","2015","Lachine","Programme graffitis et murales",45.434742,-73.672654,"https://depot.ville.montreal.qc.ca/murales/_0144714p.jpg"
90,"Artducommun","Maison des Jeunes l'Escalier de Lachine","1535-1537, rue Notre-Dame","2015","Lachine","Programme graffitis et murales",45.434786,-73.677928,"https://depot.ville.montreal.qc.ca/murales/_0144719p.jpg"
91,"Rafael Sottolichio","MU","1320, rue du Collège","2015","Saint-Laurent","Projet pilote d'art mural 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.511176,-73.672515,"https://depot.ville.montreal.qc.ca/murales/_0144722p.jpg"
92,"Jason Cantoro et Annie Hamel","MU","5665, boulevard Saint-Laurent","2015","Le Plateau-Mont-Royal","Projet pilote d'art mural 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.526694,-73.600632,"https://depot.ville.montreal.qc.ca/murales/_0144736p.jpg"
93,"Seth Malland","MU","1800, rue Jarry Est, coin Papineau","2015","Villeray–Saint-Michel–Parc-Extension","Projet pilote d'art mural 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.5534,-73.618783,"https://depot.ville.montreal.qc.ca/murales/_0143831p.jpg"
94,"Stare (Simon Bachand)","AGC Art Public (Artgang)","2075, boulevard Saint Laurent","2015","Ville-Marie","Projet pilote d'art mural 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.51194,-73.567831,"https://depot.ville.montreal.qc.ca/murales/_0143920p.jpg"
95,"Artducommun","AGC Art Public (Artgang)","3689, rue Saint-Hubert","2015","Ville-Marie","Programme graffitis et murales",45.520455,-73.569268,"https://depot.ville.montreal.qc.ca/murales/_0145573p.jpg"
96,"Mateo (Mathieu Bories)","SODER","5850, avenue Papineau, angle Fleurimont","2015","Rosemont–La Petite-Patrie","Projet pilote d'art mural 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.540415,-73.590788,"https://depot.ville.montreal.qc.ca/murales/2015_MATEO.jpg"
