Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2019-06-13 14:00:00;0,34;R;17;R
0123456789;2019-06-13 13:00:00;0,37;R;19;R
0123456789;2019-06-13 12:00:00;0,36;R;19;R
0123456789;2019-06-13 11:00:00;0,36;R;18;R
0123456789;2019-06-13 10:00:00;0,68;R;18;R
0123456789;2019-06-13 09:00:00;0,85;R;18;R
0123456789;2019-06-13 08:00:00;0,68;R;18;R
0123456789;2019-06-13 07:00:00;0,72;R;18;R
0123456789;2019-06-13 06:00:00;0,37;R;17;R
0123456789;2019-06-13 05:00:00;0,35;R;17;R
0123456789;2019-06-13 04:00:00;0,36;R;17;R
0123456789;2019-06-13 03:00:00;0,34;R;17;R
0123456789;2019-06-13 02:00:00;0,38;R;17;R
0123456789;2019-06-13 01:00:00;0,69;R;17;R
0123456789;2019-06-13 00:00:00;0,48;R;16;R
0123456789;2019-06-12 23:00:00;0,93;R;17;R
0123456789;2019-06-12 22:00:00;1,57;R;18;R
0123456789;2019-06-12 21:00:00;2,38;R;20;R
0123456789;2019-06-12 20:00:00;3,42;R;21;R
0123456789;2019-06-12 19:00:00;1,83;R;22;R
0123456789;2019-06-12 18:00:00;0,84;R;23;R
0123456789;2019-06-12 17:00:00;0,91;R;24;R
0123456789;2019-06-12 16:00:00;0,40;R;24;R
0123456789;2019-06-12 15:00:00;0,44;R;24;R
0123456789;2019-06-12 14:00:00;0,84;R;24;R
0123456789;2019-06-12 13:00:00;0,40;R;23;R
0123456789;2019-06-12 12:00:00;0,51;R;23;R
0123456789;2019-06-12 11:00:00;0,82;R;22;R
0123456789;2019-06-12 10:00:00;0,40;R;21;R
0123456789;2019-06-12 09:00:00;0,81;R;20;R
0123456789;2019-06-12 08:00:00;1,02;R;18;R
0123456789;2019-06-12 07:00:00;0,35;R;16;R
0123456789;2019-06-12 06:00:00;0,35;R;14;R
0123456789;2019-06-12 05:00:00;0,35;R;13;R
0123456789;2019-06-12 04:00:00;0,34;R;12;R
0123456789;2019-06-12 03:00:00;0,78;R;10;R
0123456789;2019-06-12 02:00:00;0,34;R;12;R
0123456789;2019-06-12 01:00:00;0,35;R;11;R
0123456789;2019-06-12 00:00:00;0,36;R;12;R
0123456789;2019-06-11 23:00:00;0,35;R;13;R
0123456789;2019-06-11 22:00:00;0,67;R;13;R
0123456789;2019-06-11 21:00:00;0,94;R;14;R
0123456789;2019-06-11 20:00:00;3,18;R;16;R
0123456789;2019-06-11 19:00:00;0,98;R;17;R
0123456789;2019-06-11 18:00:00;2,21;R;18;R
0123456789;2019-06-11 17:00:00;0,96;R;19;R
0123456789;2019-06-11 16:00:00;0,39;R;19;R
0123456789;2019-06-11 15:00:00;0,44;R;19;R
0123456789;2019-06-11 14:00:00;0,77;R;19;R
0123456789;2019-06-11 13:00:00;0,55;R;19;R
0123456789;2019-06-11 12:00:00;0,76;R;19;R
0123456789;2019-06-11 11:00:00;0,34;R;18;R
0123456789;2019-06-11 10:00:00;0,36;R;17;R
0123456789;2019-06-11 09:00:00;2,42;R;16;R
0123456789;2019-06-11 08:00:00;3,19;R;15;R
0123456789;2019-06-11 07:00:00;0,46;R;16;R
0123456789;2019-06-11 06:00:00;0,37;R;16;R
0123456789;2019-06-11 05:00:00;0,36;R;18;R
0123456789;2019-06-11 04:00:00;0,35;R;18;R
0123456789;2019-06-11 03:00:00;0,37;R;18;R
0123456789;2019-06-11 02:00:00;0,67;R;18;R
0123456789;2019-06-11 01:00:00;0,36;R;18;R
0123456789;2019-06-11 00:00:00;0,36;R;17;R
0123456789;2019-06-10 23:00:00;0,50;R;17;R
0123456789;2019-06-10 22:00:00;1,31;R;18;R
0123456789;2019-06-10 21:00:00;2,03;R;19;R
0123456789;2019-06-10 20:00:00;1,04;R;21;R
0123456789;2019-06-10 19:00:00;1,45;R;25;R
0123456789;2019-06-10 18:00:00;0,39;R;26;R
0123456789;2019-06-10 17:00:00;0,38;R;27;R
0123456789;2019-06-10 16:00:00;0,40;R;28;R
0123456789;2019-06-10 15:00:00;0,76;R;28;R
0123456789;2019-06-10 14:00:00;0,44;R;28;R
0123456789;2019-06-10 13:00:00;0,41;R;30;R
0123456789;2019-06-10 12:00:00;0,82;R;29;R
0123456789;2019-06-10 11:00:00;0,43;R;29;R
0123456789;2019-06-10 10:00:00;0,48;R;28;R
0123456789;2019-06-10 09:00:00;0,77;R;26;R
0123456789;2019-06-10 08:00:00;0,43;R;24;R
0123456789;2019-06-10 07:00:00;0,77;R;23;R
0123456789;2019-06-10 06:00:00;0,35;R;20;R
0123456789;2019-06-10 05:00:00;0,35;R;19;R
0123456789;2019-06-10 04:00:00;0,36;R;17;R
0123456789;2019-06-10 03:00:00;0,36;R;18;R
0123456789;2019-06-10 02:00:00;0,72;R;17;R
0123456789;2019-06-10 01:00:00;0,37;R;17;R
0123456789;2019-06-10 00:00:00;0,38;R;19;R
0123456789;2019-06-09 23:00:00;2,61;R;20;R
0123456789;2019-06-09 22:00:00;0,43;R;22;R
0123456789;2019-06-09 21:00:00;0,45;R;24;R
0123456789;2019-06-09 20:00:00;0,84;R;25;R
0123456789;2019-06-09 19:00:00;1,27;R;26;R
0123456789;2019-06-09 18:00:00;1,74;R;27;R
0123456789;2019-06-09 17:00:00;1,34;R;28;R
0123456789;2019-06-09 16:00:00;0,79;R;29;R
0123456789;2019-06-09 15:00:00;0,66;R;29;R
0123456789;2019-06-09 14:00:00;0,76;R;30;R
0123456789;2019-06-09 13:00:00;4,24;R;29;R
0123456789;2019-06-09 12:00:00;1,67;R;28;R
0123456789;2019-06-09 11:00:00;3,51;R;28;R
0123456789;2019-06-09 10:00:00;0,66;R;27;R
0123456789;2019-06-09 09:00:00;0,96;R;25;R
0123456789;2019-06-09 08:00:00;0,52;R;23;R
0123456789;2019-06-09 07:00:00;0,35;R;21;R
0123456789;2019-06-09 06:00:00;0,35;R;19;R
0123456789;2019-06-09 05:00:00;0,35;R;16;R
0123456789;2019-06-09 04:00:00;0,35;R;14;R
0123456789;2019-06-09 03:00:00;0,33;R;13;R
0123456789;2019-06-09 02:00:00;0,36;R;16;R
0123456789;2019-06-09 01:00:00;0,36;R;17;R
0123456789;2019-06-09 00:00:00;0,34;R;18;R
0123456789;2019-06-08 23:00:00;0,72;R;18;R
0123456789;2019-06-08 22:00:00;0,36;R;18;R
0123456789;2019-06-08 21:00:00;0,38;R;18;R
0123456789;2019-06-08 20:00:00;0,35;R;19;R
0123456789;2019-06-08 19:00:00;0,69;R;21;R
0123456789;2019-06-08 18:00:00;0,34;R;22;R
0123456789;2019-06-08 17:00:00;0,36;R;23;R
0123456789;2019-06-08 16:00:00;0,49;R;23;R
0123456789;2019-06-08 15:00:00;1,80;R;23;R
0123456789;2019-06-08 14:00:00;3,28;R;22;R
0123456789;2019-06-08 13:00:00;1,08;R;22;R
0123456789;2019-06-08 12:00:00;1,17;R;21;R
0123456789;2019-06-08 11:00:00;1,13;R;20;R
0123456789;2019-06-08 10:00:00;1,36;R;19;R
0123456789;2019-06-08 09:00:00;1,49;R;18;R
0123456789;2019-06-08 08:00:00;0,63;R;17;R
0123456789;2019-06-08 07:00:00;3,31;R;16;R
0123456789;2019-06-08 06:00:00;0,36;R;15;R
0123456789;2019-06-08 05:00:00;0,33;R;13;R
0123456789;2019-06-08 04:00:00;0,36;R;12;R
0123456789;2019-06-08 03:00:00;0,37;R;10;R
0123456789;2019-06-08 02:00:00;0,34;R;11;R
0123456789;2019-06-08 01:00:00;0,77;R;12;R
0123456789;2019-06-08 00:00:00;0,47;R;14;R
0123456789;2019-06-07 23:00:00;0,41;R;14;R
0123456789;2019-06-07 22:00:00;1,47;R;15;R
0123456789;2019-06-07 21:00:00;2,20;R;18;R
0123456789;2019-06-07 20:00:00;1,42;R;20;R
0123456789;2019-06-07 19:00:00;1,08;R;21;R
0123456789;2019-06-07 18:00:00;0,41;R;24;R
0123456789;2019-06-07 17:00:00;0,39;R;25;R
0123456789;2019-06-07 16:00:00;0,41;R;26;R
0123456789;2019-06-07 15:00:00;0,73;R;26;R
0123456789;2019-06-07 14:00:00;0,37;R;26;R
0123456789;2019-06-07 13:00:00;0,39;R;26;R
0123456789;2019-06-07 12:00:00;0,72;R;24;R
0123456789;2019-06-07 11:00:00;0,53;R;24;R
0123456789;2019-06-07 10:00:00;1,05;R;22;R
0123456789;2019-06-07 09:00:00;0,86;R;20;R
0123456789;2019-06-07 08:00:00;1,39;R;18;R
0123456789;2019-06-07 07:00:00;0,33;R;16;R
0123456789;2019-06-07 06:00:00;0,36;R;14;R
0123456789;2019-06-07 05:00:00;0,33;R;12;R
0123456789;2019-06-07 04:00:00;0,36;R;11;R
0123456789;2019-06-07 03:00:00;0,34;R;11;R
0123456789;2019-06-07 02:00:00;0,75;R;10;R
0123456789;2019-06-07 01:00:00;0,34;R;11;R
0123456789;2019-06-07 00:00:00;0,36;R;12;R
0123456789;2019-06-06 23:00:00;0,35;R;15;R
0123456789;2019-06-06 22:00:00;0,99;R;15;R
0123456789;2019-06-06 21:00:00;3,56;R;17;R
0123456789;2019-06-06 20:00:00;1,69;R;18;R
0123456789;2019-06-06 19:00:00;0,75;R;19;R
0123456789;2019-06-06 18:00:00;1,91;R;22;R
0123456789;2019-06-06 17:00:00;0,39;R;23;R
0123456789;2019-06-06 16:00:00;0,36;R;23;R
0123456789;2019-06-06 15:00:00;0,36;R;23;R
0123456789;2019-06-06 14:00:00;0,93;R;23;R
0123456789;2019-06-06 13:00:00;1,64;R;22;R
0123456789;2019-06-06 12:00:00;2,46;R;21;R
0123456789;2019-06-06 11:00:00;0,77;R;21;R
0123456789;2019-06-06 10:00:00;1,24;R;19;R
0123456789;2019-06-06 09:00:00;0,78;R;19;R
0123456789;2019-06-06 08:00:00;2,52;R;18;R
0123456789;2019-06-06 07:00:00;0,77;R;17;R
0123456789;2019-06-06 06:00:00;0,53;R;15;R
0123456789;2019-06-06 05:00:00;0,55;R;15;R
0123456789;2019-06-06 04:00:00;0,48;R;13;R
0123456789;2019-06-06 03:00:00;0,81;R;11;R
0123456789;2019-06-06 02:00:00;0,41;R;13;R
0123456789;2019-06-06 01:00:00;0,42;R;13;R
0123456789;2019-06-06 00:00:00;0,41;R;14;R
0123456789;2019-06-05 23:00:00;0,44;R;15;R
0123456789;2019-06-05 22:00:00;0,39;R;15;R
0123456789;2019-06-05 21:00:00;0,81;R;15;R
0123456789;2019-06-05 20:00:00;0,55;R;15;R
0123456789;2019-06-05 19:00:00;0,73;R;16;R
0123456789;2019-06-05 18:00:00;0,90;R;16;R
0123456789;2019-06-05 17:00:00;0,52;R;17;R
0123456789;2019-06-05 16:00:00;0,76;R;16;R
0123456789;2019-06-05 15:00:00;0,85;R;17;R
0123456789;2019-06-05 14:00:00;1,03;R;16;R
0123456789;2019-06-05 13:00:00;1,37;R;17;R
0123456789;2019-06-05 12:00:00;1,52;R;17;R
0123456789;2019-06-05 11:00:00;0,40;R;17;R
0123456789;2019-06-05 10:00:00;0,36;R;16;R
